ReportDate,Region,Commodity,ProjEstFlag,ratio
January 2011,Argentina,Soybean Meal,Proj.,0.06833333333333333
January 2011,Brazil,Soybean Meal,Proj.,0.07595405705816968
January 2011,China,Soybean Meal,Proj.,0.0
January 2011,EU-27,Soybean Meal,Proj.,0.01156926727973895
January 2011,India,Soybean Meal,Proj.,0.025954198473282446
January 2011,Major Exporters,Soybean Meal,Proj.,0.06721234062647567
January 2011,Major Importers,Soybean Meal,Proj.,0.007182940516273849
January 2011,Total Foreign,Soybean Meal,Proj.,0.03006001916578403
January 2011,United States,Soybean Meal,Proj.,0.007495835646862853
January 2011,World,Soybean Meal,Proj.,0.02659097699432328
January 2011,Argentina,Soybean Oil,Proj.,0.022757697456492636
January 2011,Brazil,Soybean Oil,Proj.,0.05663189269746647
January 2011,China,Soybean Oil,Proj.,0.017929910350448247
January 2011,EU-27,Soybean Oil,Proj.,0.13131313131313133
January 2011,India,Soybean Oil,Proj.,0.017421602787456445
January 2011,Major Exporters,Soybean Oil,Proj.,0.054842473745624266
January 2011,Major Importers,Soybean Oil,Proj.,0.017786561264822136
January 2011,Pakistan,Soybean Oil,Proj.,0.0
January 2011,Total Foreign,Soybean Oil,Proj.,0.03778040141676506
January 2011,United States,Soybean Oil,Proj.,0.13459399332591768
January 2011,World,Soybean Oil,Proj.,0.05474381453341126
January 2011,Argentina,"Oilseed, Soybean",Proj.,0.3693320790216369
January 2011,Brazil,"Oilseed, Soybean",Proj.,0.21538461538461537
January 2011,China,"Oilseed, Soybean",Proj.,0.23910533910533913
January 2011,EU-27,"Oilseed, Soybean",Proj.,0.03703703703703704
January 2011,Japan,"Oilseed, Soybean",Proj.,0.01897018970189702
January 2011,Major Exporters,"Oilseed, Soybean",Proj.,0.2679166343844426
January 2011,Major Importers,"Oilseed, Soybean",Proj.,0.1812073599338433
January 2011,Mexico,"Oilseed, Soybean",Proj.,0.013477088948787063
January 2011,Total Foreign,"Oilseed, Soybean",Proj.,0.20771988710046532
January 2011,United States,"Oilseed, Soybean",Proj.,0.04184008762322015
January 2011,World,"Oilseed, Soybean",Proj.,0.1648702933604911
January 2011,Argentina,Wheat,Proj.,0.1033740129217516
January 2011,Australia,Wheat,Proj.,0.3289353958143767
January 2011,Brazil,Wheat,Proj.,0.12773109243697478
January 2011,Canada,Wheat,Proj.,0.21902912621359222
January 2011,China,Wheat,Proj.,0.5465391621129326
January 2011,EU-27,Wheat,Proj.,0.08965277777777778
January 2011,FSU-12,Wheat,Proj.,0.12020050125313284
January 2011,India,Wheat,Proj.,0.17521781219748306
January 2011,Kazakhstan,Wheat,Proj.,0.1482758620689655
January 2011,Major Exporters,Wheat,Proj.,0.1323608071966934
January 2011,Major Importers,Wheat,Proj.,0.35574229691876746
January 2011,N. Africa,Wheat,Proj.,0.27792915531335155
January 2011,Pakistan,Wheat,Proj.,0.1253061224489796
January 2011,Russia,Wheat,Proj.,0.07514563106796117
January 2011,Sel. Mideast,Wheat,Proj.,0.20688631641436628
January 2011,Southeast Asia,Wheat,Proj.,0.22931442080378253
January 2011,Total Foreign,Wheat,Proj.,0.21524236016088236
January 2011,Ukraine,Wheat,Proj.,0.11647727272727271
January 2011,United States,Wheat,Proj.,0.33031607063362517
January 2011,World,Wheat,Proj.,0.22504741433809586
February 2011,Argentina,Coarse Grain,Proj.,0.06423982869379015
February 2011,Australia,Coarse Grain,Proj.,0.20535068691250902
February 2011,Brazil,Coarse Grain,Proj.,0.13015818431911969
February 2011,Canada,Coarse Grain,Proj.,0.14452668484612388
February 2011,China,Coarse Grain,Proj.,0.3579175704989153
February 2011,EU-27,Coarse Grain,Proj.,0.07796802931698996
February 2011,FSU-12,Coarse Grain,Proj.,0.07567158531971245
February 2011,Japan,Coarse Grain,Proj.,0.07946336429308566
February 2011,Major Exporters,Coarse Grain,Proj.,0.15998524348253812
February 2011,Major Importers,Coarse Grain,Proj.,0.10317997293640055
February 2011,Mexico,Coarse Grain,Proj.,0.060381861575179
February 2011,N. Afr & Mideast,Coarse Grain,Proj.,0.18832789402956424
February 2011,Russia,Coarse Grain,Proj.,0.06865219586067642
February 2011,Saudi Arabia,Coarse Grain,Proj.,0.22429906542056074
February 2011,South Korea,Coarse Grain,Proj.,0.19239904988123516
February 2011,Southeast Asia,Coarse Grain,Proj.,0.0995741893219784
February 2011,Total Foreign,Coarse Grain,Proj.,0.15164922656960875
February 2011,Ukraine,Coarse Grain,Proj.,0.059955257270693514
February 2011,United States,Coarse Grain,Proj.,0.05769391101353417
February 2011,World,Coarse Grain,Proj.,0.12436441703927298
February 2011,Argentina,Corn,Proj.,0.04311926605504587
February 2011,Brazil,Corn,Proj.,0.13074141048824595
February 2011,Canada,Corn,Proj.,0.13308270676691727
February 2011,China,Corn,Proj.,0.37059186189889026
February 2011,Egypt,Corn,Proj.,0.10467882632831087
February 2011,EU-27,Corn,Proj.,0.0809917355371901
February 2011,FSU-12,Corn,Proj.,0.06525037936267071
February 2011,Japan,Corn,Proj.,0.0608695652173913
February 2011,Major Exporters,Corn,Proj.,0.15514285714285714
February 2011,Major Importers,Corn,Proj.,0.08678416783557968
February 2011,Mexico,Corn,Proj.,0.060191082802547764
February 2011,South Africa,Corn,Proj.,0.33939393939393947
February 2011,South Korea,Corn,Proj.,0.19382716049382717
February 2011,Southeast Asia,Corn,Proj.,0.09980302035456336
February 2011,Total Foreign,Corn,Proj.,0.18034329916314412
February 2011,Ukraine,Corn,Proj.,0.05714285714285715
February 2011,United States,Corn,Proj.,0.04998396080604241
February 2011,World,Corn,Proj.,0.13212329062594366
February 2011,Argentina,Soybean Meal,Proj.,0.06833333333333333
February 2011,Brazil,Soybean Meal,Proj.,0.07595405705816968
February 2011,China,Soybean Meal,Proj.,0.0
February 2011,EU-27,Soybean Meal,Proj.,0.01156926727973895
February 2011,India,Soybean Meal,Proj.,0.025954198473282446
February 2011,Major Exporters,Soybean Meal,Proj.,0.06721234062647567
February 2011,Major Importers,Soybean Meal,Proj.,0.007174887892376682
February 2011,Total Foreign,Soybean Meal,Proj.,0.029995966928816294
February 2011,United States,Soybean Meal,Proj.,0.007495835646862853
February 2011,World,Soybean Meal,Proj.,0.026538100520522228
February 2011,Argentina,Soybean Oil,Proj.,0.022757697456492636
February 2011,Brazil,Soybean Oil,Proj.,0.05663189269746647
February 2011,China,Soybean Oil,Proj.,0.017929910350448247
February 2011,EU-27,Soybean Oil,Proj.,0.13131313131313133
February 2011,India,Soybean Oil,Proj.,0.017421602787456445
February 2011,Major Exporters,Soybean Oil,Proj.,0.054842473745624266
February 2011,Major Importers,Soybean Oil,Proj.,0.017786561264822136
February 2011,Pakistan,Soybean Oil,Proj.,0.0
February 2011,Total Foreign,Soybean Oil,Proj.,0.03778040141676506
February 2011,United States,Soybean Oil,Proj.,0.12956810631229235
February 2011,World,Soybean Oil,Proj.,0.053727856725715395
February 2011,Argentina,"Oilseed, Soybean",Proj.,0.3737799043062201
February 2011,Brazil,"Oilseed, Soybean",Proj.,0.2140401146131805
February 2011,China,"Oilseed, Soybean",Proj.,0.23910533910533913
February 2011,EU-27,"Oilseed, Soybean",Proj.,0.03703703703703704
February 2011,Japan,"Oilseed, Soybean",Proj.,0.01897018970189702
February 2011,Major Exporters,"Oilseed, Soybean",Proj.,0.2668827660723933
February 2011,Major Importers,"Oilseed, Soybean",Proj.,0.18047214744253467
February 2011,Mexico,"Oilseed, Soybean",Proj.,0.013477088948787063
February 2011,Total Foreign,"Oilseed, Soybean",Proj.,0.20709743745954384
February 2011,United States,"Oilseed, Soybean",Proj.,0.04184008762322015
February 2011,World,"Oilseed, Soybean",Proj.,0.16446290331694638
February 2011,Argentina,Wheat,Proj.,0.06884561891515995
February 2011,Australia,Wheat,Proj.,0.3289353958143767
February 2011,Brazil,Wheat,Proj.,0.12773109243697478
February 2011,Canada,Wheat,Proj.,0.22140077821011675
February 2011,China,Wheat,Proj.,0.5465391621129326
February 2011,EU-27,Wheat,Proj.,0.09344947735191637
February 2011,FSU-12,Wheat,Proj.,0.12382871536523929
February 2011,India,Wheat,Proj.,0.17521781219748306
February 2011,Kazakhstan,Wheat,Proj.,0.1603448275862069
February 2011,Major Exporters,Wheat,Proj.,0.13291170031622476
February 2011,Major Importers,Wheat,Proj.,0.3545244184630374
February 2011,N. Africa,Wheat,Proj.,0.27792915531335155
February 2011,Pakistan,Wheat,Proj.,0.11214574898785426
February 2011,Russia,Wheat,Proj.,0.07514563106796117
February 2011,Sel. Mideast,Wheat,Proj.,0.2081218274111675
February 2011,Southeast Asia,Wheat,Proj.,0.22931442080378253
February 2011,Total Foreign,Wheat,Proj.,0.2150333937139617
February 2011,Ukraine,Wheat,Proj.,0.1286549707602339
February 2011,United States,Wheat,Proj.,0.33031607063362517
February 2011,World,Wheat,Proj.,0.22486307347862936
March 2011,Argentina,Coarse Grain,Proj.,0.06423982869379015
March 2011,Australia,Coarse Grain,Proj.,0.18201754385964913
March 2011,Brazil,Coarse Grain,Proj.,0.15766850068775792
March 2011,Canada,Coarse Grain,Proj.,0.14452668484612388
March 2011,China,Coarse Grain,Proj.,0.35754091629025636
March 2011,EU-27,Coarse Grain,Proj.,0.07941194948796883
March 2011,FSU-12,Coarse Grain,Proj.,0.08108108108108109
March 2011,Japan,Coarse Grain,Proj.,0.07946336429308566
March 2011,Major Exporters,Coarse Grain,Proj.,0.1559689540470617
March 2011,Major Importers,Coarse Grain,Proj.,0.1019937943534761
March 2011,Mexico,Coarse Grain,Proj.,0.05144927536231884
March 2011,N. Afr & Mideast,Coarse Grain,Proj.,0.18832789402956424
March 2011,Russia,Coarse Grain,Proj.,0.07154129405576014
March 2011,Saudi Arabia,Coarse Grain,Proj.,0.19522326064382137
March 2011,South Korea,Coarse Grain,Proj.,0.19239904988123516
March 2011,Southeast Asia,Coarse Grain,Proj.,0.0995741893219784
March 2011,Total Foreign,Coarse Grain,Proj.,0.1532553035844916
March 2011,Ukraine,Coarse Grain,Proj.,0.07311534968210717
March 2011,United States,Coarse Grain,Proj.,0.05781150115345062
March 2011,World,Coarse Grain,Proj.,0.12544445794354675
March 2011,Argentina,Corn,Proj.,0.04311926605504587
March 2011,Brazil,Corn,Proj.,0.1596745027124774
March 2011,Canada,Corn,Proj.,0.13308270676691727
March 2011,China,Corn,Proj.,0.37059186189889026
March 2011,Egypt,Corn,Proj.,0.10467882632831087
March 2011,EU-27,Corn,Proj.,0.07967479674796749
March 2011,FSU-12,Corn,Proj.,0.0629839958699019
March 2011,Japan,Corn,Proj.,0.0608695652173913
March 2011,Major Exporters,Corn,Proj.,0.15514285714285714
March 2011,Major Importers,Corn,Proj.,0.0842354944653935
March 2011,Mexico,Corn,Proj.,0.04822006472491909
March 2011,South Africa,Corn,Proj.,0.33939393939393947
March 2011,South Korea,Corn,Proj.,0.19382716049382717
March 2011,Southeast Asia,Corn,Proj.,0.09980302035456336
March 2011,Total Foreign,Corn,Proj.,0.18200549450549453
March 2011,Ukraine,Corn,Proj.,0.05714285714285715
March 2011,United States,Corn,Proj.,0.04998396080604241
March 2011,World,Corn,Proj.,0.13307972463282577
March 2011,Argentina,Soybean Meal,Proj.,0.06833333333333333
March 2011,Brazil,Soybean Meal,Proj.,0.08248175182481751
March 2011,China,Soybean Meal,Proj.,0.0
March 2011,EU-27,Soybean Meal,Proj.,0.01156926727973895
March 2011,India,Soybean Meal,Proj.,0.019690576652601974
March 2011,Major Exporters,Soybean Meal,Proj.,0.06883720930232559
March 2011,Major Importers,Soybean Meal,Proj.,0.007162842753217683
March 2011,Total Foreign,Soybean Meal,Proj.,0.030793110354496295
March 2011,United States,Soybean Meal,Proj.,0.0074875207986688855
March 2011,World,Soybean Meal,Proj.,0.027228772584612773
March 2011,Argentina,Soybean Oil,Proj.,0.03663500678426052
March 2011,Brazil,Soybean Oil,Proj.,0.051244509516837476
March 2011,China,Soybean Oil,Proj.,0.017929910350448247
March 2011,EU-27,Soybean Oil,Proj.,0.09202453987730061
March 2011,India,Soybean Oil,Proj.,0.014814814814814814
March 2011,Major Exporters,Soybean Oil,Proj.,0.05272206303724929
March 2011,Major Importers,Soybean Oil,Proj.,0.01798800799467022
March 2011,Pakistan,Soybean Oil,Proj.,0.0
March 2011,Total Foreign,Soybean Oil,Proj.,0.03624883068288119
March 2011,United States,Soybean Oil,Proj.,0.11951754385964915
March 2011,World,Soybean Oil,Proj.,0.0510892616155774
March 2011,Argentina,"Oilseed, Soybean",Proj.,0.38973862536302034
March 2011,Brazil,"Oilseed, Soybean",Proj.,0.21807909604519773
March 2011,China,"Oilseed, Soybean",Proj.,0.23586406362979032
March 2011,EU-27,"Oilseed, Soybean",Proj.,0.03703703703703704
March 2011,Japan,"Oilseed, Soybean",Proj.,0.01897018970189702
March 2011,Major Exporters,"Oilseed, Soybean",Proj.,0.2745248903593137
March 2011,Major Importers,"Oilseed, Soybean",Proj.,0.17795291921601164
March 2011,Mexico,"Oilseed, Soybean",Proj.,0.013477088948787063
March 2011,Total Foreign,"Oilseed, Soybean",Proj.,0.20682197602064045
March 2011,United States,"Oilseed, Soybean",Proj.,0.04184008762322015
March 2011,World,"Oilseed, Soybean",Proj.,0.16437005100459323
March 2011,Argentina,Wheat,Proj.,0.14534075104311545
March 2011,Australia,Wheat,Proj.,0.34386120996441283
March 2011,Brazil,Wheat,Proj.,0.16974789915966387
March 2011,Canada,Wheat,Proj.,0.22140077821011675
March 2011,China,Wheat,Proj.,0.5465391621129326
March 2011,EU-27,Wheat,Proj.,0.09412587412587413
March 2011,FSU-12,Wheat,Proj.,0.14279771190847634
March 2011,India,Wheat,Proj.,0.17682631833575227
March 2011,Kazakhstan,Wheat,Proj.,0.1603448275862069
March 2011,Major Exporters,Wheat,Proj.,0.14093894429579176
March 2011,Major Importers,Wheat,Proj.,0.35368864068633404
March 2011,N. Africa,Wheat,Proj.,0.272117296222664
March 2011,Pakistan,Wheat,Proj.,0.10321285140562249
March 2011,Russia,Wheat,Proj.,0.0774
March 2011,Sel. Mideast,Wheat,Proj.,0.20781156827668457
March 2011,Southeast Asia,Wheat,Proj.,0.2252663622526636
March 2011,Total Foreign,Wheat,Proj.,0.22096805582585005
March 2011,Ukraine,Wheat,Proj.,0.2371794871794872
March 2011,United States,Wheat,Proj.,0.3438764802878129
March 2011,World,Wheat,Proj.,0.231401384083045
April 2011,Argentina,Coarse Grain,Proj.,0.062455389007851525
April 2011,Australia,Coarse Grain,Proj.,0.17453505007153075
April 2011,Brazil,Coarse Grain,Proj.,0.15229693741677763
April 2011,Canada,Coarse Grain,Proj.,0.12894429294896767
April 2011,China,Coarse Grain,Proj.,0.34537756640760936
April 2011,EU-27,Coarse Grain,Proj.,0.07936208953349658
April 2011,FSU-12,Coarse Grain,Proj.,0.08942774005819594
April 2011,Japan,Coarse Grain,Proj.,0.0784313725490196
April 2011,Major Exporters,Coarse Grain,Proj.,0.1513540249783603
April 2011,Major Importers,Coarse Grain,Proj.,0.10489984591679506
April 2011,Mexico,Coarse Grain,Proj.,0.05144927536231884
April 2011,N. Afr & Mideast,Coarse Grain,Proj.,0.20370731707317072
April 2011,Russia,Coarse Grain,Proj.,0.07306889352818373
April 2011,Saudi Arabia,Coarse Grain,Proj.,0.21999999999999997
April 2011,South Korea,Coarse Grain,Proj.,0.19239904988123516
April 2011,Southeast Asia,Coarse Grain,Proj.,0.10069101678183613
April 2011,Total Foreign,Coarse Grain,Proj.,0.15306087687223918
April 2011,Ukraine,Coarse Grain,Proj.,0.09204440333024977
April 2011,United States,Coarse Grain,Proj.,0.05821194262203936
April 2011,World,Coarse Grain,Proj.,0.12554520901358487
April 2011,Argentina,Corn,Proj.,0.04311926605504587
April 2011,Brazil,Corn,Proj.,0.15427574171029668
April 2011,Canada,Corn,Proj.,0.10300751879699248
April 2011,China,Corn,Proj.,0.35776965265082267
April 2011,Egypt,Corn,Proj.,0.10569777043765484
April 2011,EU-27,Corn,Proj.,0.07967479674796749
April 2011,FSU-12,Corn,Proj.,0.06091894682498709
April 2011,Japan,Corn,Proj.,0.0608695652173913
April 2011,Major Exporters,Corn,Proj.,0.1607558139534884
April 2011,Major Importers,Corn,Proj.,0.08443223443223444
April 2011,Mexico,Corn,Proj.,0.04822006472491909
April 2011,South Africa,Corn,Proj.,0.36349206349206353
April 2011,South Korea,Corn,Proj.,0.19382716049382717
April 2011,Southeast Asia,Corn,Proj.,0.1008569545154911
April 2011,Total Foreign,Corn,Proj.,0.17961446605254183
April 2011,Ukraine,Corn,Proj.,0.05798319327731092
April 2011,United States,Corn,Proj.,0.04998396080604241
April 2011,World,Corn,Proj.,0.1317698467366971
April 2011,Argentina,Soybean Meal,Proj.,0.06281661600810537
April 2011,Brazil,Soybean Meal,Proj.,0.08203266787658801
April 2011,China,Soybean Meal,Proj.,0.0
April 2011,EU-27,Soybean Meal,Proj.,0.01156926727973895
April 2011,India,Soybean Meal,Proj.,0.019690576652601974
April 2011,Major Exporters,Soybean Meal,Proj.,0.06613756613756613
April 2011,Major Importers,Soybean Meal,Proj.,0.006963944737728855
April 2011,Total Foreign,Soybean Meal,Proj.,0.02920443101711984
April 2011,United States,Soybean Meal,Proj.,0.0074875207986688855
April 2011,World,Soybean Meal,Proj.,0.025867212136708426
April 2011,Argentina,Soybean Oil,Proj.,0.020408163265306124
April 2011,Brazil,Soybean Oil,Proj.,0.050946142649199416
April 2011,China,Soybean Oil,Proj.,0.0180327868852459
April 2011,EU-27,Soybean Oil,Proj.,0.07228915662650602
April 2011,India,Soybean Oil,Proj.,0.014814814814814814
April 2011,Major Exporters,Soybean Oil,Proj.,0.04164289788933257
April 2011,Major Importers,Soybean Oil,Proj.,0.017402945113788485
April 2011,Pakistan,Soybean Oil,Proj.,0.0
April 2011,Total Foreign,Soybean Oil,Proj.,0.033403410418126604
April 2011,United States,Soybean Oil,Proj.,0.11668484187568158
April 2011,World,Soybean Oil,Proj.,0.04810467577448528
April 2011,Argentina,"Oilseed, Soybean",Proj.,0.4110477688224887
April 2011,Brazil,"Oilseed, Soybean",Proj.,0.23672039243167486
April 2011,China,"Oilseed, Soybean",Proj.,0.24305454545454547
April 2011,EU-27,"Oilseed, Soybean",Proj.,0.033783783783783786
April 2011,Japan,"Oilseed, Soybean",Proj.,0.01897018970189702
April 2011,Major Exporters,"Oilseed, Soybean",Proj.,0.2919226044226044
April 2011,Major Importers,"Oilseed, Soybean",Proj.,0.181960049937578
April 2011,Mexico,"Oilseed, Soybean",Proj.,0.013123359580052493
April 2011,Total Foreign,"Oilseed, Soybean",Proj.,0.21724911586873025
April 2011,United States,"Oilseed, Soybean",Proj.,0.04172598839119483
April 2011,World,"Oilseed, Soybean",Proj.,0.1720108388844981
April 2011,Argentina,Wheat,Proj.,0.14534075104311545
April 2011,Australia,Wheat,Proj.,0.28389290267743306
April 2011,Brazil,Wheat,Proj.,0.11359999999999999
April 2011,Canada,Wheat,Proj.,0.23582677165354332
April 2011,China,Wheat,Proj.,0.5367420814479639
April 2011,EU-27,Wheat,Proj.,0.08652777777777779
April 2011,FSU-12,Wheat,Proj.,0.1530163385002095
April 2011,India,Wheat,Proj.,0.17611507312945726
April 2011,Kazakhstan,Wheat,Proj.,0.1603448275862069
April 2011,Major Exporters,Wheat,Proj.,0.13130728412928122
April 2011,Major Importers,Wheat,Proj.,0.3639203277757494
April 2011,N. Africa,Wheat,Proj.,0.28139298423995934
April 2011,Pakistan,Wheat,Proj.,0.16751054852320676
April 2011,Russia,Wheat,Proj.,0.08694779116465864
April 2011,Sel. Mideast,Wheat,Proj.,0.2653606411398041
April 2011,Southeast Asia,Wheat,Proj.,0.20676968359087566
April 2011,Total Foreign,Wheat,Proj.,0.22232876141243174
April 2011,Ukraine,Wheat,Proj.,0.27483443708609273
April 2011,United States,Wheat,Proj.,0.3418649902709175
April 2011,World,Wheat,Proj.,0.2324839144477506
May 2011,Argentina,Coarse Grain,Proj.,0.07833957553058676
May 2011,Australia,Coarse Grain,Proj.,0.1824981301421092
May 2011,Brazil,Coarse Grain,Proj.,0.10422443320828577
May 2011,Canada,Coarse Grain,Proj.,0.13454689354966362
May 2011,China,Coarse Grain,Proj.,0.3604894906804147
May 2011,EU-27,Coarse Grain,Proj.,0.08173993035022012
May 2011,FSU-12,Coarse Grain,Proj.,0.10551897146440892
May 2011,Japan,Coarse Grain,Proj.,0.055240061951471346
May 2011,Major Exporters,Coarse Grain,Proj.,0.15176022835394862
May 2011,Major Importers,Coarse Grain,Proj.,0.10343098856337146
May 2011,Mexico,Coarse Grain,Proj.,0.07920792079207921
May 2011,N. Afr & Mideast,Coarse Grain,Proj.,0.190254319549602
May 2011,Russia,Coarse Grain,Proj.,0.10141253169141615
May 2011,Saudi Arabia,Coarse Grain,Proj.,0.18409090909090908
May 2011,South Korea,Coarse Grain,Proj.,0.1995073891625616
May 2011,Southeast Asia,Coarse Grain,Proj.,0.08278457196613359
May 2011,Total Foreign,Coarse Grain,Proj.,0.1509563522388721
May 2011,Ukraine,Coarse Grain,Proj.,0.10292249047013978
May 2011,United States,Coarse Grain,Proj.,0.07341465475955714
May 2011,World,Coarse Grain,Proj.,0.12907431551499352
May 2011,Argentina,Corn,Proj.,0.05921568627450981
May 2011,Brazil,Corn,Proj.,0.10581196581196582
May 2011,Canada,Corn,Proj.,0.11307692307692307
May 2011,China,Corn,Proj.,0.37461355529131984
May 2011,Egypt,Corn,Proj.,0.0942788074133763
May 2011,EU-27,Corn,Proj.,0.06230529595015576
May 2011,FSU-12,Corn,Proj.,0.10773710482529118
May 2011,Japan,Corn,Proj.,0.03602484472049689
May 2011,Major Exporters,Corn,Proj.,0.1514360313315927
May 2011,Major Importers,Corn,Proj.,0.07790368271954674
May 2011,Mexico,Corn,Proj.,0.08611111111111111
May 2011,South Africa,Corn,Proj.,0.334375
May 2011,South Korea,Corn,Proj.,0.2012820512820513
May 2011,Southeast Asia,Corn,Proj.,0.0829406220546654
May 2011,Total Foreign,Corn,Proj.,0.17309665336698968
May 2011,Ukraine,Corn,Proj.,0.12014925373134329
May 2011,United States,Corn,Proj.,0.06735842938419362
May 2011,World,Corn,Proj.,0.13546911715340718
May 2011,Argentina,Soybean Meal,Proj.,0.06774716369529984
May 2011,Brazil,Soybean Meal,Proj.,0.0852930852930853
May 2011,China,Soybean Meal,Proj.,0.0
May 2011,EU-27,Soybean Meal,Proj.,0.008355714712026261
May 2011,India,Soybean Meal,Proj.,0.02840909090909091
May 2011,Major Exporters,Soybean Meal,Proj.,0.07096579780021094
May 2011,Major Importers,Soybean Meal,Proj.,0.007061844639417934
May 2011,Total Foreign,Soybean Meal,Proj.,0.030399999999999996
May 2011,United States,Soybean Meal,Proj.,0.007544006705783739
May 2011,World,Soybean Meal,Proj.,0.02706164270368534
May 2011,Argentina,Soybean Oil,Proj.,0.022606382978723406
May 2011,Brazil,Soybean Oil,Proj.,0.02653631284916201
May 2011,China,Soybean Oil,Proj.,0.013996889580093312
May 2011,EU-27,Soybean Oil,Proj.,0.062111801242236024
May 2011,India,Soybean Oil,Proj.,0.016326530612244896
May 2011,Major Exporters,Soybean Oil,Proj.,0.03128491620111733
May 2011,Major Importers,Soybean Oil,Proj.,0.014341590612777054
May 2011,Pakistan,Soybean Oil,Proj.,0.0
May 2011,Total Foreign,Soybean Oil,Proj.,0.02898219990871748
May 2011,United States,Soybean Oil,Proj.,0.10259301014656144
May 2011,World,Soybean Oil,Proj.,0.041366223908918406
May 2011,Argentina,"Oilseed, Soybean",Proj.,0.4167450611476951
May 2011,Brazil,"Oilseed, Soybean",Proj.,0.2327445652173913
May 2011,China,"Oilseed, Soybean",Proj.,0.2157967032967033
May 2011,EU-27,"Oilseed, Soybean",Proj.,0.03257103257103257
May 2011,Japan,"Oilseed, Soybean",Proj.,0.06944444444444445
May 2011,Major Exporters,"Oilseed, Soybean",Proj.,0.29389426656738643
May 2011,Major Importers,"Oilseed, Soybean",Proj.,0.16686698717948717
May 2011,Mexico,"Oilseed, Soybean",Proj.,0.018229166666666668
May 2011,Total Foreign,"Oilseed, Soybean",Proj.,0.21182756079587323
May 2011,United States,"Oilseed, Soybean",Proj.,0.04840142095914743
May 2011,World,"Oilseed, Soybean",Proj.,0.17110213566449042
May 2011,Argentina,Wheat,Proj.,0.11270638908829864
May 2011,Australia,Wheat,Proj.,0.3089361702127659
May 2011,Brazil,Wheat,Proj.,0.12566371681415928
May 2011,Canada,Wheat,Proj.,0.23484848484848486
May 2011,China,Wheat,Proj.,0.5752678571428572
May 2011,EU-27,Wheat,Proj.,0.09314685314685314
May 2011,FSU-12,Wheat,Proj.,0.1611126934396658
May 2011,India,Wheat,Proj.,0.16176470588235295
May 2011,Kazakhstan,Wheat,Proj.,0.12266666666666667
May 2011,Major Exporters,Wheat,Proj.,0.13706909055746264
May 2011,Major Importers,Wheat,Proj.,0.36470825762164344
May 2011,N. Africa,Wheat,Proj.,0.23644088977755565
May 2011,Pakistan,Wheat,Proj.,0.10406504065040652
May 2011,Russia,Wheat,Proj.,0.15807086614173227
May 2011,Sel. Mideast,Wheat,Proj.,0.24968789013732834
May 2011,Southeast Asia,Wheat,Proj.,0.18238993710691823
May 2011,Total Foreign,Wheat,Proj.,0.22044867437117605
May 2011,Ukraine,Wheat,Proj.,0.14285714285714285
May 2011,United States,Wheat,Proj.,0.30675437189154503
May 2011,World,Wheat,Proj.,0.2271912562826667
June 2011,Argentina,Coarse Grain,Proj.,0.07902924704418171
