ReportDate,Region,Commodity,ProjEstFlag,total_supply
January 2011,Total Foreign,Wheat,Est.,770.96
January 2011,Ukraine,Wheat,Est.,24.009999999999998
January 2011,United States,Wheat,Est.,78.24
January 2011,World,Wheat,Est.,849.19
February 2011,Argentina,Coarse Grain,Est.,29.75
February 2011,Australia,Coarse Grain,Est.,14.39
February 2011,Brazil,Coarse Grain,Est.,70.86
February 2011,Canada,Coarse Grain,Est.,28.810000000000002
February 2011,China,Coarse Grain,Est.,218.2
February 2011,EU-27,Coarse Grain,Est.,174.91
February 2011,FSU-12,Coarse Grain,Est.,76.78
February 2011,Japan,Coarse Grain,Est.,1.75
February 2011,Major Exporters,Coarse Grain,Est.,91.14999999999999
February 2011,Major Importers,Coarse Grain,Est.,280.72
February 2011,Mexico,Coarse Grain,Est.,32.51
February 2011,N. Afr & Mideast,Coarse Grain,Est.,39.64
February 2011,Russia,Coarse Grain,Est.,36.62
February 2011,Saudi Arabia,Coarse Grain,Est.,2.68
February 2011,South Korea,Coarse Grain,Est.,1.85
February 2011,Southeast Asia,Coarse Grain,Est.,26.68
February 2011,Total Foreign,Coarse Grain,Est.,905.95
February 2011,Ukraine,Coarse Grain,Est.,26.37
February 2011,United States,Coarse Grain,Est.,395.81
February 2011,World,Coarse Grain,Est.,1301.77
February 2011,Argentina,Corn,Est.,23.79
February 2011,Brazil,Corn,Est.,68.18
February 2011,Canada,Corn,Est.,11.39
February 2011,China,Corn,Est.,211.17000000000002
February 2011,Egypt,Corn,Est.,8.22
February 2011,EU-27,Corn,Est.,63.3
February 2011,FSU-12,Corn,Est.,19.619999999999997
February 2011,Japan,Corn,Est.,1.0
February 2011,Major Exporters,Corn,Est.,41.33
February 2011,Major Importers,Corn,Est.,125.28
February 2011,Mexico,Corn,Est.,23.93
February 2011,South Africa,Corn,Est.,17.53
February 2011,South Korea,Corn,Est.,1.55
February 2011,Southeast Asia,Corn,Est.,26.61
February 2011,Total Foreign,Corn,Est.,585.11
February 2011,Ukraine,Corn,Est.,11.23
February 2011,United States,Corn,Est.,375.05
February 2011,World,Corn,Est.,960.1600000000001
February 2011,Afr. Fr. Zone,Cotton,Est.,2.97
February 2011,Australia,Cotton,Est.,2.76
February 2011,Bangladesh,Cotton,Est.,0.75
February 2011,Brazil,Cotton,Est.,10.440000000000001
February 2011,Central Asia,Cotton,Est.,9.36
February 2011,China,Cotton,Est.,54.370000000000005
February 2011,EU-27,Cotton,Est.,1.67
February 2011,India,Cotton,Est.,32.12
February 2011,Indonesia,Cotton,Est.,0.38
February 2011,Major Exporters,Cotton,Est.,63.17
February 2011,Major Importers,Cotton,Est.,76.15
February 2011,Mexico,Cotton,Est.,1.18
February 2011,Pakistan,Cotton,Est.,13.059999999999999
February 2011,S. Hemis,Cotton,Est.,16.63
February 2011,Thailand,Cotton,Est.,0.29
February 2011,Total Foreign,Cotton,Est.,143.54
February 2011,Turkey,Cotton,Est.,3.4
February 2011,United States,Cotton,Est.,18.53
February 2011,Vietnam,Cotton,Est.,0.28
February 2011,World,Cotton,Est.,162.06
February 2011,Brazil,Rice,Est.,8.780000000000001
February 2011,Burma,Rice,Est.,10.639999999999999
February 2011,C. Amer & Carib,Rice,Est.,1.94
February 2011,China,Rice,Est.,175.47
February 2011,Egypt,Rice,Est.,4.859999999999999
February 2011,EU-27,Rice,Est.,3.02
February 2011,India,Rice,Est.,108.13
February 2011,Indonesia,Rice,Est.,43.43
February 2011,Japan,Rice,Est.,10.43
February 2011,Major Exporters,Rice,Est.,168.11999999999998
February 2011,Major Importers,Rice,Est.,77.3
February 2011,Mexico,Rice,Est.,0.35
February 2011,Nigeria,Rice,Est.,3.9699999999999998
February 2011,Pakistan,Rice,Est.,8.0
February 2011,Philippines,Rice,Est.,14.44
February 2011,Sel. Mideast,Rice,Est.,3.2299999999999995
February 2011,South Korea,Rice,Est.,5.92
February 2011,Thailand,Rice,Est.,25.05
February 2011,Total Foreign,Rice,Est.,524.73
February 2011,United States,Rice,Est.,7.88
February 2011,Vietnam,Rice,Est.,26.94
February 2011,World,Rice,Est.,532.61
February 2011,Argentina,Soybean Meal,Est.,27.470000000000002
February 2011,Brazil,Soybean Meal,Est.,27.93
February 2011,China,Soybean Meal,Est.,38.64
February 2011,EU-27,Soybean Meal,Est.,10.010000000000002
February 2011,India,Soybean Meal,Est.,5.76
February 2011,Major Exporters,Soybean Meal,Est.,61.16
February 2011,Major Importers,Soybean Meal,Est.,50.489999999999995
February 2011,Total Foreign,Soybean Meal,Est.,131.65
February 2011,United States,Soybean Meal,Est.,38.04
February 2011,World,Soybean Meal,Est.,169.69
February 2011,Argentina,Soybean Oil,Est.,6.5600000000000005
February 2011,Brazil,Soybean Oil,Est.,6.8
February 2011,China,Soybean Oil,Est.,9.17
February 2011,EU-27,Soybean Oil,Est.,2.39
February 2011,India,Soybean Oil,Est.,1.37
February 2011,Major Exporters,Soybean Oil,Est.,15.75
February 2011,Major Importers,Soybean Oil,Est.,10.55
February 2011,Pakistan,Soybean Oil,Est.,0.01
February 2011,Total Foreign,Soybean Oil,Est.,31.52
February 2011,United States,Soybean Oil,Est.,10.200000000000001
February 2011,World,Soybean Oil,Est.,41.71
February 2011,Argentina,"Oilseed, Soybean",Est.,71.09
February 2011,Brazil,"Oilseed, Soybean",Est.,81.03999999999999
February 2011,China,"Oilseed, Soybean",Est.,23.75
February 2011,EU-27,"Oilseed, Soybean",Est.,1.4
February 2011,Japan,"Oilseed, Soybean",Est.,0.41000000000000003
February 2011,Major Exporters,"Oilseed, Soybean",Est.,159.45
February 2011,Major Importers,"Oilseed, Soybean",Est.,26.779999999999998
February 2011,Mexico,"Oilseed, Soybean",Est.,0.15
February 2011,Total Foreign,"Oilseed, Soybean",Est.,208.88
February 2011,United States,"Oilseed, Soybean",Est.,95.18
February 2011,World,"Oilseed, Soybean",Est.,304.06
February 2011,Argentina,Wheat,Est.,12.29
February 2011,Australia,Wheat,Est.,25.51
February 2011,Brazil,Wheat,Est.,6.5600000000000005
February 2011,Canada,Wheat,Est.,33.4
February 2011,China,Wheat,Est.,160.81
February 2011,EU-27,Wheat,Est.,157.02
February 2011,FSU-12,Wheat,Est.,134.8
February 2011,India,Wheat,Est.,94.11000000000001
February 2011,Kazakhstan,Wheat,Est.,19.05
February 2011,Major Exporters,Wheat,Est.,228.20999999999998
February 2011,Major Importers,Wheat,Est.,256.63
February 2011,N. Africa,Wheat,Est.,29.73
February 2011,Pakistan,Wheat,Est.,26.69
February 2011,Russia,Wheat,Est.,72.26
February 2011,Sel. Mideast,Wheat,Est.,23.47
February 2011,Southeast Asia,Wheat,Est.,2.74
February 2011,Total Foreign,Wheat,Est.,771.63
February 2011,Ukraine,Wheat,Est.,24.009999999999998
February 2011,United States,Wheat,Est.,78.24
February 2011,World,Wheat,Est.,849.8499999999999
March 2011,Argentina,Coarse Grain,Est.,29.75
March 2011,Australia,Coarse Grain,Est.,14.39
March 2011,Brazil,Coarse Grain,Est.,70.86
March 2011,Canada,Coarse Grain,Est.,28.810000000000002
March 2011,China,Coarse Grain,Est.,218.2
March 2011,EU-27,Coarse Grain,Est.,174.91
March 2011,FSU-12,Coarse Grain,Est.,76.78
March 2011,Japan,Coarse Grain,Est.,1.75
March 2011,Major Exporters,Coarse Grain,Est.,91.14999999999999
March 2011,Major Importers,Coarse Grain,Est.,280.72
March 2011,Mexico,Coarse Grain,Est.,32.51
March 2011,N. Afr & Mideast,Coarse Grain,Est.,39.64
March 2011,Russia,Coarse Grain,Est.,36.62
March 2011,Saudi Arabia,Coarse Grain,Est.,2.68
March 2011,South Korea,Coarse Grain,Est.,1.85
March 2011,Southeast Asia,Coarse Grain,Est.,26.68
March 2011,Total Foreign,Coarse Grain,Est.,905.6800000000001
March 2011,Ukraine,Coarse Grain,Est.,26.37
March 2011,United States,Coarse Grain,Est.,395.82
March 2011,World,Coarse Grain,Est.,1301.5
March 2011,Argentina,Corn,Est.,23.79
March 2011,Brazil,Corn,Est.,68.18
March 2011,Canada,Corn,Est.,11.39
March 2011,China,Corn,Est.,211.17000000000002
March 2011,Egypt,Corn,Est.,8.22
March 2011,EU-27,Corn,Est.,63.3
March 2011,FSU-12,Corn,Est.,19.619999999999997
March 2011,Japan,Corn,Est.,1.0
March 2011,Major Exporters,Corn,Est.,41.33
March 2011,Major Importers,Corn,Est.,125.28
March 2011,Mexico,Corn,Est.,23.93
March 2011,South Africa,Corn,Est.,17.53
March 2011,South Korea,Corn,Est.,1.55
March 2011,Southeast Asia,Corn,Est.,26.61
March 2011,Total Foreign,Corn,Est.,585.15
March 2011,Ukraine,Corn,Est.,11.23
March 2011,United States,Corn,Est.,375.05
March 2011,World,Corn,Est.,960.2
March 2011,Afr. Fr. Zone,Cotton,Est.,2.97
March 2011,Australia,Cotton,Est.,2.76
March 2011,Bangladesh,Cotton,Est.,0.75
March 2011,Brazil,Cotton,Est.,10.440000000000001
March 2011,Central Asia,Cotton,Est.,9.36
March 2011,China,Cotton,Est.,54.370000000000005
March 2011,EU-27,Cotton,Est.,1.67
March 2011,India,Cotton,Est.,31.92
March 2011,Indonesia,Cotton,Est.,0.38
March 2011,Major Exporters,Cotton,Est.,62.97
March 2011,Major Importers,Cotton,Est.,76.15
March 2011,Mexico,Cotton,Est.,1.18
March 2011,Pakistan,Cotton,Est.,13.059999999999999
March 2011,S. Hemis,Cotton,Est.,16.63
March 2011,Thailand,Cotton,Est.,0.29
March 2011,Total Foreign,Cotton,Est.,143.34
March 2011,Turkey,Cotton,Est.,3.4
March 2011,United States,Cotton,Est.,18.53
March 2011,Vietnam,Cotton,Est.,0.28
March 2011,World,Cotton,Est.,161.86
March 2011,Brazil,Rice,Est.,8.57
March 2011,Burma,Rice,Est.,10.639999999999999
March 2011,C. Amer & Carib,Rice,Est.,1.94
March 2011,China,Rice,Est.,175.47
March 2011,Egypt,Rice,Est.,4.859999999999999
March 2011,EU-27,Rice,Est.,3.02
March 2011,India,Rice,Est.,108.13
March 2011,Indonesia,Rice,Est.,43.43
March 2011,Japan,Rice,Est.,10.43
March 2011,Major Exporters,Rice,Est.,168.11999999999998
March 2011,Major Importers,Rice,Est.,77.09
March 2011,Mexico,Rice,Est.,0.35
March 2011,Nigeria,Rice,Est.,3.9699999999999998
March 2011,Pakistan,Rice,Est.,8.0
March 2011,Philippines,Rice,Est.,14.44
March 2011,Sel. Mideast,Rice,Est.,3.2299999999999995
March 2011,South Korea,Rice,Est.,5.92
March 2011,Thailand,Rice,Est.,25.05
March 2011,Total Foreign,Rice,Est.,524.53
March 2011,United States,Rice,Est.,7.88
March 2011,Vietnam,Rice,Est.,26.94
March 2011,World,Rice,Est.,532.41
March 2011,Argentina,Soybean Meal,Est.,27.470000000000002
March 2011,Brazil,Soybean Meal,Est.,27.93
March 2011,China,Soybean Meal,Est.,38.64
March 2011,EU-27,Soybean Meal,Est.,10.010000000000002
March 2011,India,Soybean Meal,Est.,5.76
March 2011,Major Exporters,Soybean Meal,Est.,61.16
March 2011,Major Importers,Soybean Meal,Est.,50.489999999999995
March 2011,Total Foreign,Soybean Meal,Est.,131.65
March 2011,United States,Soybean Meal,Est.,38.04
March 2011,World,Soybean Meal,Est.,169.7
March 2011,Argentina,Soybean Oil,Est.,6.5600000000000005
March 2011,Brazil,Soybean Oil,Est.,6.78
March 2011,China,Soybean Oil,Est.,9.17
March 2011,EU-27,Soybean Oil,Est.,2.39
March 2011,India,Soybean Oil,Est.,1.37
March 2011,Major Exporters,Soybean Oil,Est.,15.73
March 2011,Major Importers,Soybean Oil,Est.,10.55
March 2011,Pakistan,Soybean Oil,Est.,0.01
March 2011,Total Foreign,Soybean Oil,Est.,31.490000000000002
March 2011,United States,Soybean Oil,Est.,10.200000000000001
March 2011,World,Soybean Oil,Est.,41.68
March 2011,Argentina,"Oilseed, Soybean",Est.,71.09
March 2011,Brazil,"Oilseed, Soybean",Est.,81.03999999999999
March 2011,China,"Oilseed, Soybean",Est.,22.54
March 2011,EU-27,"Oilseed, Soybean",Est.,1.4
March 2011,Japan,"Oilseed, Soybean",Est.,0.41000000000000003
March 2011,Major Exporters,"Oilseed, Soybean",Est.,159.45
March 2011,Major Importers,"Oilseed, Soybean",Est.,25.56
March 2011,Mexico,"Oilseed, Soybean",Est.,0.15
March 2011,Total Foreign,"Oilseed, Soybean",Est.,207.67
March 2011,United States,"Oilseed, Soybean",Est.,95.18
March 2011,World,"Oilseed, Soybean",Est.,302.84999999999997
March 2011,Argentina,Wheat,Est.,12.29
March 2011,Australia,Wheat,Est.,25.51
March 2011,Brazil,Wheat,Est.,6.5600000000000005
March 2011,Canada,Wheat,Est.,33.4
March 2011,China,Wheat,Est.,160.81
March 2011,EU-27,Wheat,Est.,157.02
March 2011,FSU-12,Wheat,Est.,134.8
March 2011,India,Wheat,Est.,94.11000000000001
March 2011,Kazakhstan,Wheat,Est.,19.05
March 2011,Major Exporters,Wheat,Est.,228.20999999999998
March 2011,Major Importers,Wheat,Est.,256.57
March 2011,N. Africa,Wheat,Est.,29.73
March 2011,Pakistan,Wheat,Est.,26.69
March 2011,Russia,Wheat,Est.,72.26
March 2011,Sel. Mideast,Wheat,Est.,23.41
March 2011,Southeast Asia,Wheat,Est.,2.74
March 2011,Total Foreign,Wheat,Est.,771.59
March 2011,Ukraine,Wheat,Est.,24.009999999999998
March 2011,United States,Wheat,Est.,78.24
March 2011,World,Wheat,Est.,849.82
April 2011,Argentina,Coarse Grain,Est.,29.75
April 2011,Australia,Coarse Grain,Est.,14.39
April 2011,Brazil,Coarse Grain,Est.,70.86
April 2011,Canada,Coarse Grain,Est.,28.810000000000002
April 2011,China,Coarse Grain,Est.,218.05
April 2011,EU-27,Coarse Grain,Est.,174.91
April 2011,FSU-12,Coarse Grain,Est.,77.03
April 2011,Japan,Coarse Grain,Est.,1.75
April 2011,Major Exporters,Coarse Grain,Est.,91.14999999999999
April 2011,Major Importers,Coarse Grain,Est.,282.15999999999997
April 2011,Mexico,Coarse Grain,Est.,32.51
April 2011,N. Afr & Mideast,Coarse Grain,Est.,40.79
April 2011,Russia,Coarse Grain,Est.,36.72
April 2011,Saudi Arabia,Coarse Grain,Est.,2.98
April 2011,South Korea,Coarse Grain,Est.,1.85
April 2011,Southeast Asia,Coarse Grain,Est.,26.66
April 2011,Total Foreign,Coarse Grain,Est.,908.1500000000001
April 2011,Ukraine,Coarse Grain,Est.,26.51
April 2011,United States,Coarse Grain,Est.,395.82
April 2011,World,Coarse Grain,Est.,1303.96
April 2011,Argentina,Corn,Est.,23.79
April 2011,Brazil,Corn,Est.,68.18
April 2011,Canada,Corn,Est.,11.39
April 2011,China,Corn,Est.,211.17000000000002
April 2011,Egypt,Corn,Est.,7.68
April 2011,EU-27,Corn,Est.,63.3
April 2011,FSU-12,Corn,Est.,19.79
April 2011,Japan,Corn,Est.,1.0
April 2011,Major Exporters,Corn,Est.,41.33
April 2011,Major Importers,Corn,Est.,124.73
April 2011,Mexico,Corn,Est.,23.93
April 2011,South Africa,Corn,Est.,17.53
April 2011,South Korea,Corn,Est.,1.55
April 2011,Southeast Asia,Corn,Est.,26.6
April 2011,Total Foreign,Corn,Est.,586.45
April 2011,Ukraine,Corn,Est.,11.43
April 2011,United States,Corn,Est.,375.05
April 2011,World,Corn,Est.,961.5
April 2011,Afr. Fr. Zone,Cotton,Est.,2.97
April 2011,Australia,Cotton,Est.,2.76
April 2011,Bangladesh,Cotton,Est.,0.75
April 2011,Brazil,Cotton,Est.,10.440000000000001
April 2011,Central Asia,Cotton,Est.,9.36
April 2011,China,Cotton,Est.,54.370000000000005
April 2011,EU-27,Cotton,Est.,1.67
April 2011,India,Cotton,Est.,31.92
April 2011,Indonesia,Cotton,Est.,0.38
April 2011,Major Exporters,Cotton,Est.,62.97
April 2011,Major Importers,Cotton,Est.,76.15
April 2011,Mexico,Cotton,Est.,1.18
April 2011,Pakistan,Cotton,Est.,13.059999999999999
April 2011,S. Hemis,Cotton,Est.,16.63
April 2011,Thailand,Cotton,Est.,0.29
April 2011,Total Foreign,Cotton,Est.,143.34
April 2011,Turkey,Cotton,Est.,3.4
April 2011,United States,Cotton,Est.,18.53
April 2011,Vietnam,Cotton,Est.,0.28
April 2011,World,Cotton,Est.,161.86
April 2011,Brazil,Rice,Est.,8.57
April 2011,Burma,Rice,Est.,10.639999999999999
April 2011,C. Amer & Carib,Rice,Est.,1.94
April 2011,China,Rice,Est.,175.47
April 2011,Egypt,Rice,Est.,4.859999999999999
April 2011,EU-27,Rice,Est.,3.02
April 2011,India,Rice,Est.,108.13
April 2011,Indonesia,Rice,Est.,43.43
April 2011,Japan,Rice,Est.,10.43
April 2011,Major Exporters,Rice,Est.,168.11999999999998
April 2011,Major Importers,Rice,Est.,76.57000000000001
April 2011,Mexico,Rice,Est.,0.35
April 2011,Nigeria,Rice,Est.,3.9699999999999998
April 2011,Pakistan,Rice,Est.,8.0
April 2011,Philippines,Rice,Est.,14.44
April 2011,Sel. Mideast,Rice,Est.,2.7199999999999998
April 2011,South Korea,Rice,Est.,5.92
April 2011,Thailand,Rice,Est.,25.05
April 2011,Total Foreign,Rice,Est.,523.96
April 2011,United States,Rice,Est.,7.88
April 2011,Vietnam,Rice,Est.,26.94
April 2011,World,Rice,Est.,531.83
April 2011,Argentina,Soybean Meal,Est.,27.470000000000002
April 2011,Brazil,Soybean Meal,Est.,27.93
April 2011,China,Soybean Meal,Est.,38.64
April 2011,EU-27,Soybean Meal,Est.,10.010000000000002
April 2011,India,Soybean Meal,Est.,5.76
April 2011,Major Exporters,Soybean Meal,Est.,61.16
April 2011,Major Importers,Soybean Meal,Est.,50.510000000000005
April 2011,Total Foreign,Soybean Meal,Est.,131.4
April 2011,United States,Soybean Meal,Est.,38.04
April 2011,World,Soybean Meal,Est.,169.44
April 2011,Argentina,Soybean Oil,Est.,6.5600000000000005
April 2011,Brazil,Soybean Oil,Est.,6.78
April 2011,China,Soybean Oil,Est.,9.17
April 2011,EU-27,Soybean Oil,Est.,2.39
April 2011,India,Soybean Oil,Est.,1.37
April 2011,Major Exporters,Soybean Oil,Est.,15.73
April 2011,Major Importers,Soybean Oil,Est.,10.55
April 2011,Pakistan,Soybean Oil,Est.,0.01
April 2011,Total Foreign,Soybean Oil,Est.,31.67
April 2011,United States,Soybean Oil,Est.,10.200000000000001
April 2011,World,Soybean Oil,Est.,41.870000000000005
April 2011,Argentina,"Oilseed, Soybean",Est.,71.09
April 2011,Brazil,"Oilseed, Soybean",Est.,81.03999999999999
April 2011,China,"Oilseed, Soybean",Est.,22.54
April 2011,EU-27,"Oilseed, Soybean",Est.,1.4
April 2011,Japan,"Oilseed, Soybean",Est.,0.41000000000000003
April 2011,Major Exporters,"Oilseed, Soybean",Est.,159.45
April 2011,Major Importers,"Oilseed, Soybean",Est.,25.56
April 2011,Mexico,"Oilseed, Soybean",Est.,0.15
April 2011,Total Foreign,"Oilseed, Soybean",Est.,207.62
April 2011,United States,"Oilseed, Soybean",Est.,95.18
April 2011,World,"Oilseed, Soybean",Est.,302.79
April 2011,Argentina,Wheat,Est.,12.29
April 2011,Australia,Wheat,Est.,25.51
April 2011,Brazil,Wheat,Est.,6.5600000000000005
April 2011,Canada,Wheat,Est.,33.4
April 2011,China,Wheat,Est.,160.81
April 2011,EU-27,Wheat,Est.,157.02
April 2011,FSU-12,Wheat,Est.,135.01
April 2011,India,Wheat,Est.,94.11000000000001
April 2011,Kazakhstan,Wheat,Est.,19.05
April 2011,Major Exporters,Wheat,Est.,228.20999999999998
April 2011,Major Importers,Wheat,Est.,257.15
April 2011,N. Africa,Wheat,Est.,29.76
April 2011,Pakistan,Wheat,Est.,26.69
April 2011,Russia,Wheat,Est.,72.51
April 2011,Sel. Mideast,Wheat,Est.,23.96
April 2011,Southeast Asia,Wheat,Est.,2.74
April 2011,Total Foreign,Wheat,Est.,772.23
April 2011,Ukraine,Wheat,Est.,23.970000000000002
April 2011,United States,Wheat,Est.,78.24
April 2011,World,Wheat,Est.,850.4699999999999
May 2011,Argentina,Coarse Grain,Est.,29.55
May 2011,Australia,Coarse Grain,Est.,16.48
May 2011,Brazil,Coarse Grain,Est.,67.63
May 2011,Canada,Coarse Grain,Est.,27.72
May 2011,China,Coarse Grain,Est.,228.53
May 2011,EU-27,Coarse Grain,Est.,165.46999999999997
May 2011,FSU-12,Coarse Grain,Est.,54.809999999999995
May 2011,Japan,Coarse Grain,Est.,1.48
May 2011,Major Exporters,Coarse Grain,Est.,91.53
May 2011,Major Importers,Coarse Grain,Est.,270.31
May 2011,Mexico,Coarse Grain,Est.,31.470000000000002
May 2011,N. Afr & Mideast,Coarse Grain,Est.,40.75
May 2011,Russia,Coarse Grain,Est.,19.490000000000002
May 2011,Saudi Arabia,Coarse Grain,Est.,2.8800000000000003
May 2011,South Korea,Coarse Grain,Est.,2.0
May 2011,Southeast Asia,Coarse Grain,Est.,25.7
May 2011,Total Foreign,Coarse Grain,Est.,903.0999999999999
May 2011,Ukraine,Coarse Grain,Est.,23.650000000000002
May 2011,United States,Coarse Grain,Est.,378.36
May 2011,World,Coarse Grain,Est.,1281.46
May 2011,Argentina,Corn,Est.,22.59
May 2011,Brazil,Corn,Est.,64.99
May 2011,Canada,Corn,Est.,13.47
May 2011,China,Corn,Est.,221.31
May 2011,Egypt,Corn,Est.,7.99
