ReportDate,Region,Commodity,ProjEstFlag,total_supply
January 2011,China,Rice,Proj.,180.15
January 2011,Egypt,Rice,Proj.,3.6
January 2011,EU-27,Rice,Proj.,3.05
January 2011,India,Rice,Proj.,115.5
January 2011,Indonesia,Rice,Proj.,44.58
January 2011,Japan,Rice,Proj.,10.54
January 2011,Major Exporters,Rice,Proj.,175.13000000000002
January 2011,Major Importers,Rice,Proj.,78.25999999999999
January 2011,Mexico,Rice,Proj.,0.33
January 2011,Nigeria,Rice,Proj.,4.07
January 2011,Pakistan,Rice,Proj.,6.3
January 2011,Philippines,Rice,Proj.,13.85
January 2011,Sel. Mideast,Rice,Proj.,3.05
January 2011,South Korea,Rice,Proj.,5.75
January 2011,Thailand,Rice,Proj.,26.900000000000002
January 2011,Total Foreign,Rice,Proj.,538.54
January 2011,United States,Rice,Proj.,8.59
January 2011,Vietnam,Rice,Proj.,26.44
January 2011,World,Rice,Proj.,547.14
January 2011,Argentina,Soybean Meal,Proj.,32.05
January 2011,Brazil,Soybean Meal,Proj.,28.939999999999998
January 2011,China,Soybean Meal,Proj.,45.78
January 2011,EU-27,Soybean Meal,Proj.,10.840000000000002
January 2011,India,Soybean Meal,Proj.,6.71
January 2011,Major Exporters,Soybean Meal,Proj.,67.7
January 2011,Major Importers,Soybean Meal,Proj.,58.55
January 2011,Total Foreign,Soybean Meal,Proj.,147.39999999999998
January 2011,United States,Soybean Meal,Proj.,36.13
January 2011,World,Soybean Meal,Proj.,183.54
January 2011,Argentina,Soybean Oil,Proj.,7.63
January 2011,Brazil,Soybean Oil,Proj.,7.04
January 2011,China,Soybean Oil,Proj.,10.49
January 2011,EU-27,Soybean Oil,Proj.,2.6100000000000003
January 2011,India,Soybean Oil,Proj.,1.6199999999999999
January 2011,Major Exporters,Soybean Oil,Proj.,17.28
January 2011,Major Importers,Soybean Oil,Proj.,12.11
January 2011,Pakistan,Soybean Oil,Proj.,0.0
January 2011,Total Foreign,Soybean Oil,Proj.,34.800000000000004
January 2011,United States,Soybean Oil,Proj.,10.139999999999999
January 2011,World,Soybean Oil,Proj.,44.93
January 2011,Argentina,"Oilseed, Soybean",Proj.,72.78
January 2011,Brazil,"Oilseed, Soybean",Proj.,83.56
January 2011,China,"Oilseed, Soybean",Proj.,28.87
January 2011,EU-27,"Oilseed, Soybean",Proj.,1.4100000000000001
January 2011,Japan,"Oilseed, Soybean",Proj.,0.32
January 2011,Major Exporters,"Oilseed, Soybean",Proj.,163.45
January 2011,Major Importers,"Oilseed, Soybean",Proj.,31.93
January 2011,Mexico,"Oilseed, Soybean",Proj.,0.16
January 2011,Total Foreign,"Oilseed, Soybean",Proj.,221.04
January 2011,United States,"Oilseed, Soybean",Proj.,94.72
January 2011,World,"Oilseed, Soybean",Proj.,315.76
January 2011,Argentina,Wheat,Proj.,15.36
January 2011,Australia,Wheat,Proj.,29.11
January 2011,Brazil,Wheat,Proj.,7.42
January 2011,Canada,Wheat,Proj.,30.990000000000002
January 2011,China,Wheat,Proj.,168.81
January 2011,EU-27,Wheat,Proj.,152.41
January 2011,FSU-12,Wheat,Proj.,104.42
January 2011,India,Wheat,Proj.,96.81
January 2011,Kazakhstan,Wheat,Proj.,13.239999999999998
January 2011,Major Exporters,Wheat,Proj.,227.87
January 2011,Major Importers,Wheat,Proj.,269.94
January 2011,N. Africa,Wheat,Proj.,29.28
January 2011,Pakistan,Wheat,Proj.,27.27
January 2011,Russia,Wheat,Proj.,53.37
January 2011,Sel. Mideast,Wheat,Proj.,27.14
January 2011,Southeast Asia,Wheat,Proj.,3.19
January 2011,Total Foreign,Wheat,Proj.,756.59
January 2011,Ukraine,Wheat,Proj.,19.599999999999998
January 2011,United States,Wheat,Proj.,86.65
January 2011,World,Wheat,Proj.,843.25
February 2011,Argentina,Coarse Grain,Proj.,29.71
February 2011,Australia,Coarse Grain,Proj.,16.67
February 2011,Brazil,Coarse Grain,Proj.,64.21000000000001
February 2011,Canada,Coarse Grain,Proj.,27.72
February 2011,China,Coarse Grain,Proj.,228.45000000000002
February 2011,EU-27,Coarse Grain,Proj.,164.42999999999998
February 2011,FSU-12,Coarse Grain,Proj.,54.55
February 2011,Japan,Coarse Grain,Proj.,1.74
February 2011,Major Exporters,Coarse Grain,Proj.,92.43
February 2011,Major Importers,Coarse Grain,Proj.,274.12
February 2011,Mexico,Coarse Grain,Proj.,33.97
February 2011,N. Afr & Mideast,Coarse Grain,Proj.,41.11
February 2011,Russia,Coarse Grain,Proj.,19.27
February 2011,Saudi Arabia,Coarse Grain,Proj.,2.68
February 2011,South Korea,Coarse Grain,Proj.,1.97
February 2011,Southeast Asia,Coarse Grain,Proj.,27.560000000000002
February 2011,Total Foreign,Coarse Grain,Proj.,898.9
February 2011,Ukraine,Coarse Grain,Proj.,23.669999999999998
February 2011,United States,Coarse Grain,Proj.,378.36
February 2011,World,Coarse Grain,Proj.,1277.26
February 2011,Argentina,Corn,Proj.,22.64
February 2011,Brazil,Corn,Proj.,61.53
February 2011,Canada,Corn,Proj.,13.47
February 2011,China,Corn,Proj.,221.31
February 2011,Egypt,Corn,Proj.,8.53
February 2011,EU-27,Corn,Proj.,59.9
February 2011,FSU-12,Corn,Proj.,19.88
February 2011,Japan,Corn,Proj.,0.98
February 2011,Major Exporters,Corn,Proj.,40.3
February 2011,Major Importers,Corn,Proj.,124.6
February 2011,Mexico,Corn,Proj.,25.39
February 2011,South Africa,Corn,Proj.,17.66
February 2011,South Korea,Corn,Proj.,1.6700000000000002
February 2011,Southeast Asia,Corn,Proj.,27.5
February 2011,Total Foreign,Corn,Proj.,599.87
February 2011,Ukraine,Corn,Proj.,12.57
February 2011,United States,Corn,Proj.,359.55
February 2011,World,Corn,Proj.,959.42
February 2011,Afr. Fr. Zone,Cotton,Proj.,3.15
February 2011,Australia,Cotton,Proj.,4.7
February 2011,Bangladesh,Cotton,Proj.,0.79
February 2011,Brazil,Cotton,Proj.,12.549999999999999
February 2011,Central Asia,Cotton,Proj.,8.83
February 2011,China,Cotton,Proj.,45.25
February 2011,EU-27,Cotton,Proj.,1.52
February 2011,India,Cotton,Proj.,32.519999999999996
February 2011,Indonesia,Cotton,Proj.,0.39
February 2011,Major Exporters,Cotton,Proj.,67.26
February 2011,Major Importers,Cotton,Proj.,66.44
February 2011,Mexico,Cotton,Proj.,1.2
February 2011,Pakistan,Cotton,Proj.,11.73
February 2011,S. Hemis,Cotton,Proj.,21.02
February 2011,Thailand,Cotton,Proj.,0.29
February 2011,Total Foreign,Cotton,Proj.,137.99
February 2011,Turkey,Cotton,Proj.,4.18
February 2011,United States,Cotton,Proj.,21.27
February 2011,Vietnam,Cotton,Proj.,0.39
February 2011,World,Cotton,Proj.,159.24
February 2011,Brazil,Rice,Proj.,9.2
February 2011,Burma,Rice,Proj.,10.84
February 2011,C. Amer & Carib,Rice,Proj.,2.04
February 2011,China,Rice,Proj.,180.15
February 2011,Egypt,Rice,Proj.,3.6
February 2011,EU-27,Rice,Proj.,3.05
February 2011,India,Rice,Proj.,115.5
February 2011,Indonesia,Rice,Proj.,44.08
February 2011,Japan,Rice,Proj.,10.41
February 2011,Major Exporters,Rice,Proj.,174.73000000000002
February 2011,Major Importers,Rice,Proj.,77.59
February 2011,Mexico,Rice,Proj.,0.32
February 2011,Nigeria,Rice,Proj.,4.07
February 2011,Pakistan,Rice,Proj.,6.1
February 2011,Philippines,Rice,Proj.,13.7
February 2011,Sel. Mideast,Rice,Proj.,3.05
February 2011,South Korea,Rice,Proj.,5.75
February 2011,Thailand,Rice,Proj.,26.700000000000003
February 2011,Total Foreign,Rice,Proj.,537.54
February 2011,United States,Rice,Proj.,8.59
February 2011,Vietnam,Rice,Proj.,26.44
February 2011,World,Rice,Proj.,546.14
February 2011,Argentina,Soybean Meal,Proj.,32.05
February 2011,Brazil,Soybean Meal,Proj.,28.939999999999998
February 2011,China,Soybean Meal,Proj.,45.78
February 2011,EU-27,Soybean Meal,Proj.,10.840000000000002
February 2011,India,Soybean Meal,Proj.,6.71
February 2011,Major Exporters,Soybean Meal,Proj.,67.7
February 2011,Major Importers,Soybean Meal,Proj.,58.55
February 2011,Total Foreign,Soybean Meal,Proj.,147.35
February 2011,United States,Soybean Meal,Proj.,36.13
February 2011,World,Soybean Meal,Proj.,183.5
February 2011,Argentina,Soybean Oil,Proj.,7.63
February 2011,Brazil,Soybean Oil,Proj.,7.04
February 2011,China,Soybean Oil,Proj.,10.49
February 2011,EU-27,Soybean Oil,Proj.,2.6100000000000003
February 2011,India,Soybean Oil,Proj.,1.6199999999999999
February 2011,Major Exporters,Soybean Oil,Proj.,17.28
February 2011,Major Importers,Soybean Oil,Proj.,12.11
February 2011,Pakistan,Soybean Oil,Proj.,0.0
February 2011,Total Foreign,Soybean Oil,Proj.,34.79
February 2011,United States,Soybean Oil,Proj.,10.139999999999999
February 2011,World,Soybean Oil,Proj.,44.919999999999995
February 2011,Argentina,"Oilseed, Soybean",Proj.,71.78
February 2011,Brazil,"Oilseed, Soybean",Proj.,84.56
February 2011,China,"Oilseed, Soybean",Proj.,28.87
February 2011,EU-27,"Oilseed, Soybean",Proj.,1.4100000000000001
February 2011,Japan,"Oilseed, Soybean",Proj.,0.32
February 2011,Major Exporters,"Oilseed, Soybean",Proj.,163.95
February 2011,Major Importers,"Oilseed, Soybean",Proj.,31.810000000000002
February 2011,Mexico,"Oilseed, Soybean",Proj.,0.16
February 2011,Total Foreign,"Oilseed, Soybean",Proj.,221.55
February 2011,United States,"Oilseed, Soybean",Proj.,94.72
February 2011,World,"Oilseed, Soybean",Proj.,316.27000000000004
February 2011,Argentina,Wheat,Proj.,15.36
February 2011,Australia,Wheat,Proj.,29.11
February 2011,Brazil,Wheat,Proj.,7.42
February 2011,Canada,Wheat,Proj.,30.990000000000002
February 2011,China,Wheat,Proj.,168.81
February 2011,EU-27,Wheat,Proj.,152.41
February 2011,FSU-12,Wheat,Proj.,104.21000000000001
February 2011,India,Wheat,Proj.,96.81
February 2011,Kazakhstan,Wheat,Proj.,13.389999999999999
February 2011,Major Exporters,Wheat,Proj.,227.87
February 2011,Major Importers,Wheat,Proj.,269.94
February 2011,N. Africa,Wheat,Proj.,29.28
February 2011,Pakistan,Wheat,Proj.,27.27
February 2011,Russia,Wheat,Proj.,53.37
February 2011,Sel. Mideast,Wheat,Proj.,27.14
February 2011,Southeast Asia,Wheat,Proj.,3.19
February 2011,Total Foreign,Wheat,Proj.,756.3599999999999
February 2011,Ukraine,Wheat,Proj.,19.25
February 2011,United States,Wheat,Proj.,86.65
February 2011,World,Wheat,Proj.,843.01
March 2011,Argentina,Coarse Grain,Proj.,29.71
March 2011,Australia,Coarse Grain,Proj.,16.17
March 2011,Brazil,Coarse Grain,Proj.,65.81
March 2011,Canada,Coarse Grain,Proj.,27.72
March 2011,China,Coarse Grain,Proj.,228.45000000000002
March 2011,EU-27,Coarse Grain,Proj.,164.42999999999998
March 2011,FSU-12,Coarse Grain,Proj.,54.49
March 2011,Japan,Coarse Grain,Proj.,1.74
March 2011,Major Exporters,Coarse Grain,Proj.,91.93
March 2011,Major Importers,Coarse Grain,Proj.,272.02
March 2011,Mexico,Coarse Grain,Proj.,31.970000000000002
March 2011,N. Afr & Mideast,Coarse Grain,Proj.,41.11
March 2011,Russia,Coarse Grain,Proj.,19.27
March 2011,Saudi Arabia,Coarse Grain,Proj.,2.6
March 2011,South Korea,Coarse Grain,Proj.,1.97
March 2011,Southeast Asia,Coarse Grain,Proj.,27.560000000000002
March 2011,Total Foreign,Coarse Grain,Proj.,896.43
March 2011,Ukraine,Coarse Grain,Proj.,23.62
March 2011,United States,Coarse Grain,Proj.,378.36
March 2011,World,Coarse Grain,Proj.,1274.79
March 2011,Argentina,Corn,Proj.,22.64
March 2011,Brazil,Corn,Proj.,63.13
March 2011,Canada,Corn,Proj.,13.47
March 2011,China,Corn,Proj.,221.31
March 2011,Egypt,Corn,Proj.,8.53
March 2011,EU-27,Corn,Proj.,59.9
March 2011,FSU-12,Corn,Proj.,19.9
March 2011,Japan,Corn,Proj.,0.98
March 2011,Major Exporters,Corn,Proj.,40.3
March 2011,Major Importers,Corn,Proj.,122.57
March 2011,Mexico,Corn,Proj.,23.39
March 2011,South Africa,Corn,Proj.,17.66
March 2011,South Korea,Corn,Proj.,1.6700000000000002
March 2011,Southeast Asia,Corn,Proj.,27.5
March 2011,Total Foreign,Corn,Proj.,598.77
March 2011,Ukraine,Corn,Proj.,12.57
March 2011,United States,Corn,Proj.,359.55
March 2011,World,Corn,Proj.,958.3199999999999
March 2011,Afr. Fr. Zone,Cotton,Proj.,3.15
March 2011,Australia,Cotton,Proj.,5.25
March 2011,Bangladesh,Cotton,Proj.,0.79
March 2011,Brazil,Cotton,Proj.,13.15
March 2011,Central Asia,Cotton,Proj.,8.83
March 2011,China,Cotton,Proj.,44.75
March 2011,EU-27,Cotton,Proj.,1.52
March 2011,India,Cotton,Proj.,31.32
March 2011,Indonesia,Cotton,Proj.,0.39
March 2011,Major Exporters,Cotton,Proj.,67.31
March 2011,Major Importers,Cotton,Proj.,65.94
March 2011,Mexico,Cotton,Proj.,1.2
March 2011,Pakistan,Cotton,Proj.,11.73
March 2011,S. Hemis,Cotton,Proj.,22.27
March 2011,Thailand,Cotton,Proj.,0.29
March 2011,Total Foreign,Cotton,Proj.,137.54
March 2011,Turkey,Cotton,Proj.,4.18
March 2011,United States,Cotton,Proj.,21.27
March 2011,Vietnam,Cotton,Proj.,0.39
March 2011,World,Cotton,Proj.,158.79000000000002
March 2011,Brazil,Rice,Proj.,9.19
March 2011,Burma,Rice,Proj.,10.84
March 2011,C. Amer & Carib,Rice,Proj.,2.04
March 2011,China,Rice,Proj.,180.20000000000002
March 2011,Egypt,Rice,Proj.,3.6
March 2011,EU-27,Rice,Proj.,3.05
March 2011,India,Rice,Proj.,115.0
March 2011,Indonesia,Rice,Proj.,44.08
March 2011,Japan,Rice,Proj.,10.41
March 2011,Major Exporters,Rice,Proj.,174.23000000000002
March 2011,Major Importers,Rice,Proj.,77.55
March 2011,Mexico,Rice,Proj.,0.32
March 2011,Nigeria,Rice,Proj.,4.07
March 2011,Pakistan,Rice,Proj.,6.1
March 2011,Philippines,Rice,Proj.,13.7
March 2011,Sel. Mideast,Rice,Proj.,3.01
March 2011,South Korea,Rice,Proj.,5.75
March 2011,Thailand,Rice,Proj.,26.700000000000003
March 2011,Total Foreign,Rice,Proj.,537.16
March 2011,United States,Rice,Proj.,8.62
March 2011,Vietnam,Rice,Proj.,26.44
March 2011,World,Rice,Proj.,545.78
March 2011,Argentina,Soybean Meal,Proj.,32.05
March 2011,Brazil,Soybean Meal,Proj.,29.56
March 2011,China,Soybean Meal,Proj.,45.78
March 2011,EU-27,Soybean Meal,Proj.,10.840000000000002
March 2011,India,Soybean Meal,Proj.,7.239999999999999
March 2011,Major Exporters,Soybean Meal,Proj.,68.84
March 2011,Major Importers,Soybean Meal,Proj.,58.55
March 2011,Total Foreign,Soybean Meal,Proj.,148.35999999999999
March 2011,United States,Soybean Meal,Proj.,36.18
March 2011,World,Soybean Meal,Proj.,184.54999999999998
March 2011,Argentina,Soybean Oil,Proj.,7.63
March 2011,Brazil,Soybean Oil,Proj.,7.159999999999999
March 2011,China,Soybean Oil,Proj.,10.49
March 2011,EU-27,Soybean Oil,Proj.,2.6100000000000003
March 2011,India,Soybean Oil,Proj.,1.74
March 2011,Major Exporters,Soybean Oil,Proj.,17.4
March 2011,Major Importers,Soybean Oil,Proj.,12.24
March 2011,Pakistan,Soybean Oil,Proj.,0.0
March 2011,Total Foreign,Soybean Oil,Proj.,35.03
March 2011,United States,Soybean Oil,Proj.,10.15
March 2011,World,Soybean Oil,Proj.,45.18
March 2011,Argentina,"Oilseed, Soybean",Proj.,71.78
March 2011,Brazil,"Oilseed, Soybean",Proj.,86.06
March 2011,China,"Oilseed, Soybean",Proj.,28.46
March 2011,EU-27,"Oilseed, Soybean",Proj.,1.4100000000000001
March 2011,Japan,"Oilseed, Soybean",Proj.,0.32
March 2011,Major Exporters,"Oilseed, Soybean",Proj.,165.45
March 2011,Major Importers,"Oilseed, Soybean",Proj.,31.4
March 2011,Mexico,"Oilseed, Soybean",Proj.,0.16
March 2011,Total Foreign,"Oilseed, Soybean",Proj.,222.68
March 2011,United States,"Oilseed, Soybean",Proj.,94.72
March 2011,World,"Oilseed, Soybean",Proj.,317.4
March 2011,Argentina,Wheat,Proj.,16.36
March 2011,Australia,Wheat,Proj.,30.11
March 2011,Brazil,Wheat,Proj.,7.42
March 2011,Canada,Wheat,Proj.,30.990000000000002
March 2011,China,Wheat,Proj.,168.81
March 2011,EU-27,Wheat,Proj.,151.96
March 2011,FSU-12,Wheat,Proj.,104.2
March 2011,India,Wheat,Proj.,96.99
March 2011,Kazakhstan,Wheat,Proj.,13.389999999999999
March 2011,Major Exporters,Wheat,Proj.,229.42000000000002
March 2011,Major Importers,Wheat,Proj.,270.44
March 2011,N. Africa,Wheat,Proj.,29.28
March 2011,Pakistan,Wheat,Proj.,27.27
March 2011,Russia,Wheat,Proj.,53.37
March 2011,Sel. Mideast,Wheat,Proj.,27.64
March 2011,Southeast Asia,Wheat,Proj.,3.19
March 2011,Total Foreign,Wheat,Proj.,758.26
March 2011,Ukraine,Wheat,Proj.,19.25
March 2011,United States,Wheat,Proj.,86.65
March 2011,World,Wheat,Proj.,844.9200000000001
April 2011,Argentina,Coarse Grain,Proj.,29.66
April 2011,Australia,Coarse Grain,Proj.,16.419999999999998
April 2011,Brazil,Coarse Grain,Proj.,67.77000000000001
April 2011,Canada,Coarse Grain,Proj.,27.72
April 2011,China,Coarse Grain,Proj.,228.49
April 2011,EU-27,Coarse Grain,Proj.,164.42999999999998
April 2011,FSU-12,Coarse Grain,Proj.,54.66
April 2011,Japan,Coarse Grain,Proj.,1.73
April 2011,Major Exporters,Coarse Grain,Proj.,91.61
April 2011,Major Importers,Coarse Grain,Proj.,271.2
April 2011,Mexico,Coarse Grain,Proj.,31.970000000000002
April 2011,N. Afr & Mideast,Coarse Grain,Proj.,41.05
April 2011,Russia,Coarse Grain,Proj.,19.46
April 2011,Saudi Arabia,Coarse Grain,Proj.,2.89
April 2011,South Korea,Coarse Grain,Proj.,1.97
April 2011,Southeast Asia,Coarse Grain,Proj.,26.549999999999997
April 2011,Total Foreign,Coarse Grain,Proj.,902.71
April 2011,Ukraine,Coarse Grain,Proj.,23.59
April 2011,United States,Coarse Grain,Proj.,378.36
April 2011,World,Coarse Grain,Proj.,1281.0700000000002
April 2011,Argentina,Corn,Proj.,22.64
April 2011,Brazil,Corn,Proj.,65.14
April 2011,Canada,Corn,Proj.,13.47
April 2011,China,Corn,Proj.,221.31
April 2011,Egypt,Corn,Proj.,7.99
April 2011,EU-27,Corn,Proj.,59.9
April 2011,FSU-12,Corn,Proj.,19.869999999999997
April 2011,Japan,Corn,Proj.,0.98
April 2011,Major Exporters,Corn,Proj.,39.8
April 2011,Major Importers,Corn,Proj.,121.03
April 2011,Mexico,Corn,Proj.,23.39
April 2011,South Africa,Corn,Proj.,17.16
April 2011,South Korea,Corn,Proj.,1.6700000000000002
April 2011,Southeast Asia,Corn,Proj.,26.5
April 2011,Total Foreign,Corn,Proj.,601.1999999999999
April 2011,Ukraine,Corn,Proj.,12.58
April 2011,United States,Corn,Proj.,359.55
April 2011,World,Corn,Proj.,960.74
April 2011,Afr. Fr. Zone,Cotton,Proj.,2.95
April 2011,Australia,Cotton,Proj.,5.25
April 2011,Bangladesh,Cotton,Proj.,0.79
April 2011,Brazil,Cotton,Proj.,13.35
April 2011,Central Asia,Cotton,Proj.,8.83
April 2011,China,Cotton,Proj.,44.75
April 2011,EU-27,Cotton,Proj.,1.52
April 2011,India,Cotton,Proj.,31.2
April 2011,Indonesia,Cotton,Proj.,0.39
April 2011,Major Exporters,Cotton,Proj.,67.19
April 2011,Major Importers,Cotton,Proj.,66.03
April 2011,Mexico,Cotton,Proj.,1.26
April 2011,Pakistan,Cotton,Proj.,11.899999999999999
April 2011,S. Hemis,Cotton,Proj.,22.47
April 2011,Thailand,Cotton,Proj.,0.29
April 2011,Total Foreign,Cotton,Proj.,137.48000000000002
April 2011,Turkey,Cotton,Proj.,4.03
April 2011,United States,Cotton,Proj.,21.05
April 2011,Vietnam,Cotton,Proj.,0.39
April 2011,World,Cotton,Proj.,158.52
April 2011,Brazil,Rice,Proj.,9.36
April 2011,Burma,Rice,Proj.,10.84
April 2011,C. Amer & Carib,Rice,Proj.,2.04
April 2011,China,Rice,Proj.,180.20000000000002
April 2011,Egypt,Rice,Proj.,3.6
April 2011,EU-27,Rice,Proj.,3.05
April 2011,India,Rice,Proj.,115.0
April 2011,Indonesia,Rice,Proj.,43.48
April 2011,Japan,Rice,Proj.,10.41
April 2011,Major Exporters,Rice,Proj.,173.91
April 2011,Major Importers,Rice,Proj.,76.57000000000001
April 2011,Mexico,Rice,Proj.,0.32
April 2011,Nigeria,Rice,Proj.,4.07
April 2011,Pakistan,Rice,Proj.,6.1
April 2011,Philippines,Rice,Proj.,13.7
April 2011,Sel. Mideast,Rice,Proj.,2.46
April 2011,South Korea,Rice,Proj.,5.75
April 2011,Thailand,Rice,Proj.,26.36
April 2011,Total Foreign,Rice,Proj.,535.86
April 2011,United States,Rice,Proj.,8.62
April 2011,Vietnam,Rice,Proj.,26.44
April 2011,World,Rice,Proj.,544.49
April 2011,Argentina,Soybean Meal,Proj.,31.470000000000002
April 2011,Brazil,Soybean Meal,Proj.,29.71
April 2011,China,Soybean Meal,Proj.,45.46
April 2011,EU-27,Soybean Meal,Proj.,10.840000000000002
April 2011,India,Soybean Meal,Proj.,7.239999999999999
April 2011,Major Exporters,Soybean Meal,Proj.,68.41
April 2011,Major Importers,Soybean Meal,Proj.,58.28
April 2011,Total Foreign,Soybean Meal,Proj.,147.43
April 2011,United States,Soybean Meal,Proj.,36.18
April 2011,World,Soybean Meal,Proj.,183.62
April 2011,Argentina,Soybean Oil,Proj.,7.49
April 2011,Brazil,Soybean Oil,Proj.,7.199999999999999
April 2011,China,Soybean Oil,Proj.,10.42
April 2011,EU-27,Soybean Oil,Proj.,2.6100000000000003
April 2011,India,Soybean Oil,Proj.,1.74
April 2011,Major Exporters,Soybean Oil,Proj.,17.3
April 2011,Major Importers,Soybean Oil,Proj.,12.17
April 2011,Pakistan,Soybean Oil,Proj.,0.0
April 2011,Total Foreign,Soybean Oil,Proj.,34.879999999999995
April 2011,United States,Soybean Oil,Proj.,10.15
April 2011,World,Soybean Oil,Proj.,45.04
April 2011,Argentina,"Oilseed, Soybean",Proj.,71.78
April 2011,Brazil,"Oilseed, Soybean",Proj.,88.06
April 2011,China,"Oilseed, Soybean",Proj.,28.46
April 2011,EU-27,"Oilseed, Soybean",Proj.,1.31
April 2011,Japan,"Oilseed, Soybean",Proj.,0.32
April 2011,Major Exporters,"Oilseed, Soybean",Proj.,168.05
April 2011,Major Importers,"Oilseed, Soybean",Proj.,31.270000000000003
April 2011,Mexico,"Oilseed, Soybean",Proj.,0.16
April 2011,Total Foreign,"Oilseed, Soybean",Proj.,225.14000000000001
April 2011,United States,"Oilseed, Soybean",Proj.,94.72
April 2011,World,"Oilseed, Soybean",Proj.,319.85
April 2011,Argentina,Wheat,Proj.,16.36
April 2011,Australia,Wheat,Proj.,30.11
April 2011,Brazil,Wheat,Proj.,7.42
April 2011,Canada,Wheat,Proj.,30.990000000000002
April 2011,China,Wheat,Proj.,168.81
April 2011,EU-27,Wheat,Proj.,151.96
April 2011,FSU-12,Wheat,Proj.,104.41
April 2011,India,Wheat,Proj.,96.99
April 2011,Kazakhstan,Wheat,Proj.,13.389999999999999
April 2011,Major Exporters,Wheat,Proj.,229.42000000000002
April 2011,Major Importers,Wheat,Proj.,271.03999999999996
April 2011,N. Africa,Wheat,Proj.,28.0
April 2011,Pakistan,Wheat,Proj.,27.47
April 2011,Russia,Wheat,Proj.,53.629999999999995
April 2011,Sel. Mideast,Wheat,Proj.,29.450000000000003
April 2011,Southeast Asia,Wheat,Proj.,3.19
April 2011,Total Foreign,Wheat,Proj.,758.44
April 2011,Ukraine,Wheat,Proj.,19.2
April 2011,United States,Wheat,Proj.,86.65
April 2011,World,Wheat,Proj.,845.0899999999999
May 2011,Argentina,Coarse Grain,Proj.,34.53
May 2011,Australia,Coarse Grain,Proj.,15.81
May 2011,Brazil,Coarse Grain,Proj.,66.34
May 2011,Canada,Coarse Grain,Proj.,27.2
May 2011,China,Coarse Grain,Proj.,237.81
May 2011,EU-27,Coarse Grain,Proj.,160.35999999999999
